steer_kp,steer_ki,steer_kd,throttle_kp,throttle_ki,throttle_kd,steer_mae,throttle_mae
0.3,0,0,1.0625,0.25,0.05,0,1.77227
0.3,0,0,1.1625,0.25,0.05,0,1.73744
0.3,0,0,1.1625,0.25,0.15000000000000002,0,1.63043
0.3,0,0,1.3125,0.25,0.15000000000000002,0,1.54927
0.3,0,0,1.3125,0.25,0.30000000000000004,0,1.52297
0.3,0,0,1.5375,0.25,0.30000000000000004,0,1.56041
0.3,0,0,1.0875,0.25,0.30000000000000004,0,1.55958
0.3,0,0,1.3125,0.25,0.5250000000000001,0,1.4073
0.3,0,0,1.425,0.25,0.5250000000000001,0,1.32344
0.3,0,0,1.425,0.25,0.8625000000000002,0,1.39004
0.3,0,0,1.425,0.25,0.1875000000000001,0,1.71293
0.3,0,0,1.59375,0.25,0.5250000000000001,0,1.47159
0.3,0,0,1.25625,0.25,0.5250000000000001,0,1.51749
0.3,0,0,1.425,0.25,0.6937500000000001,0,1.40786
0.3,0,0,1.425,0.25,0.3562500000000001,0,1.44757
0.3,0,0,1.5093750000000001,0.25,0.5250000000000001,0,1.38068
0.3,0,0,1.340625,0.25,0.5250000000000001,0,1.52324
0.3,0,0,1.425,0.25,0.6093750000000001,0,1.51044
0.3,0,0,1.425,0.25,0.44062500000000016,0,1.52902
0.3,0,0,1.4671875,0.25,0.5250000000000001,0,1.53043
0.3,0,0,1.3828125,0.25,0.5250000000000001,0,1.49324
0.3,0,0,1.425,0.25,0.5671875000000002,0,1.44424
0.3,0,0,1.425,0.25,0.48281250000000014,0,1.56139
0.3,0,0,1.44609375,0.25,0.5250000000000001,0,1.55026
0.3,0,0,1.4039062500000001,0.25,0.5250000000000001,0,1.35463
0.3,0,0,1.425,0.25,0.5460937500000002,0,1.47084
0.3,0,0,1.425,0.25,0.5039062500000001,0,1.41305
0.3,0,0,1.435546875,0.25,0.5250000000000001,0,1.51029
0.3,0,0,1.414453125,0.25,0.5250000000000001,0,1.56824
0.3,0,0,1.425,0.25,0.5355468750000001,0,1.52157
0.3,0,0,1.425,0.25,0.5144531250000002,0,1.48421
0.3,0,0,1.425,0.25,0.5250000000000001,6.27448,0
0.4,0,0,1.425,0.25,0.5250000000000001,8.97455,0
0.19999999999999998,0,0,1.425,0.25,0.5250000000000001,0.061848,0
0.19999999999999998,0.1,0,1.425,0.25,0.5250000000000001,0.534007,0
0.19999999999999998,0,0.1,1.425,0.25,0.5250000000000001,5.52337,0
0.35,0,0,1.425,0.25,0.5250000000000001,8.1499,0
0.04999999999999996,0,0,1.425,0.25,0.5250000000000001,0.0790463,0
0.19999999999999998,0.05,0,1.425,0.25,0.5250000000000001,0.106923,0
0.19999999999999998,0,0.05,1.425,0.25,0.5250000000000001,2.52365,0
0.275,0,0,1.425,0.25,0.5250000000000001,5.38612,0
0.12499999999999997,0,0,1.425,0.25,0.5250000000000001,0.0596721,0
0.12499999999999997,0.025,0,1.425,0.25,0.5250000000000001,0.0765406,0
0.12499999999999997,0,0.025,1.425,0.25,0.5250000000000001,0.0642597,0
0.2375,0,0,1.425,0.25,0.5250000000000001,0.788745,0
0.012499999999999956,0,0,1.425,0.25,0.5250000000000001,0.155904,0
0.12499999999999997,0.0125,0,1.425,0.25,0.5250000000000001,0.0764947,0
0.12499999999999997,0,0.0125,1.425,0.25,0.5250000000000001,0.0575638,0
0.18124999999999997,0,0.0125,1.425,0.25,0.5250000000000001,0.0618876,0
0.06874999999999996,0,0.0125,1.425,0.25,0.5250000000000001,0.0672559,0
0.125,0,0.0125,1.8,0.6,0.05,0,0.0295434
0.125,0,0.0125,2.0,0.8,0.05,0,0.0229202
0.125,0,0.0125,2.0,0.8,0.0,0,0.0232398
0.125,0,0.0125,2.0,0.8,0.1,0,0.0233438
0.125,0,0.0125,2.0,0.8,0.1,0.911482,0.0226778
0.1,0,0.0125,2.0,0.8,0.1,0.689775,0.0282335
0.1,0,0.0125,2.0,0.8,0.1,0,0.0224413
0.1,0,0.0125,2.0,0.8,0.1,0.647849,0.0280935
0.1,0,0.0125,2.0,0.8,0.1,0,0.0230583
0.1,0,0.0125,2.0,0.8,0.1,0.672067,0.0262322
